act,動
act_or,演員
act_ion,行動
act_ual,實際上的
re_act,反應
inter_asct,互動
dis,相反、不
dis_agree,不同意
dis_cover,發現
dis_close,關閉
dis_appear,出現
fore,前面
fore_see,預知
fore_cast,預測
fore_head,前額
fore_word,前言
inter,在...之間
inter_net,網際網路
inter_section,十字路口
inter_national,國際的
inter_mediate,中間
over,超過、過度
over_flow,流
over_work,太過操勞
over_look,俯瞰
over_sleep,睡過頭
pre,之前、預先
pre_fix,字首
pre_view,預習
pre_caution,警慎
sub,下面
sub_way,地鐵
sub_culture,此文化
sub_tropical,亞熱帶
sub_conscious,潛意識
use,使用
use_d,用過的
use_ful,有用的
ab_use,濫用
fact,製作
fact_or,因素
fact_ory,工廠
in_fact,製作
manu_fact_ure,製作
firm,堅定、強壯的
af_firm,堅稱
in_firm,優柔寡斷的
con_firm,證實
flu,流
flush,沖水
af_flu_ent,富饒的
in_flu_ence,影響
part,部分
de_part,離開
de_part_ure,啟程
part_ial,局部的
part_ner,夥伴
face,外表、表面
ef_face,抹去
sur_face,表面
inter_face,介面
ful,充滿...的
use_ful,有用的
care_ful,小心的
peace_ful,和平的
respect_ful,尊敬的
ics,學科、學術
tact_ics,策略、戰術
athlet_ics,體育運動
econom_ics,經濟
statist_ics,統計學
ness,性質、狀態
busi_ness,商業
kind_ness,仁慈
happi_ness,快樂
pass,走過、通道
sur_pass,勝過
over_pass,天橋
pass_word,密碼
under_pass,地下道
rupt,破
ir_rupt,侵入
dis_rupt,打亂
cor_rupt,腐敗的
bank_rupt,破產
inter_rupt,打岔
sist,抵擋、站立
as_sist,幫忙
in_sist,堅持
re_sist,反抗
per_sist,堅持
sub_sist,生存
spect,看
in_spect,視察
ex_spect,期望
re_spect,尊重
pro_spect,前景
serve,服務
de_serve,應得
re_serve,保留
pre_serve,保存
sign,記號、標記
as_sign,分派
de_sign,設計
re_sign,辭職
con_sign,委託
tend,伸
at_tend,參加
ex_tend,擴張
con_tend,競爭
dis_tend,膨脹
tract,拉
ac_tract,吸引
ex_tract,提煉
re_tract,撤銷
con_tract,合約
vert,轉
a_vert,避開
di_vert,轉向
con_vert,轉變
per_vert,腐敗
ward,方向的
up_ward,朝上的
for_ward,往前的
back_ward,往後的
down_word,往下的
as_sist,幫助、救援
in_sist,堅持、強調
per_sist,堅持
con_consist,組成、構成
